               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.024725,            0.021641,           0.0015665,             0.86786,             0.70518,              0.7354,             0.42823,            0.031322,            0.022243,           0.0047773,            0.006205,            0.006205,            0.006205
                  48,            0.023735,            0.020858,           0.0014951,             0.84812,             0.68853,             0.74376,             0.44175,            0.030391,            0.022649,           0.0048286,           0.0061225,           0.0061225,           0.0061225
                  49,            0.024285,             0.02088,           0.0015504,               0.873,             0.74326,             0.80337,             0.49366,            0.029587,            0.021611,           0.0041513,             0.00604,             0.00604,             0.00604
                  50,            0.023646,            0.020472,            0.001503,             0.80134,             0.77129,             0.78314,             0.45826,            0.031299,            0.022441,           0.0048601,           0.0059575,           0.0059575,           0.0059575
                  51,            0.023579,            0.021366,           0.0015408,             0.90602,             0.60199,              0.7061,             0.40872,            0.032222,            0.021824,           0.0054825,            0.005875,            0.005875,            0.005875
                  52,            0.023913,             0.02057,           0.0015934,             0.82553,             0.66449,             0.72214,             0.43671,            0.030459,            0.022447,           0.0048964,           0.0057925,           0.0057925,           0.0057925
                  53,            0.023474,            0.020876,           0.0015803,             0.89619,              0.6849,             0.74222,             0.45608,            0.030369,            0.022178,           0.0043469,             0.00571,             0.00571,             0.00571
                  54,             0.02341,            0.020491,            0.001619,             0.89027,             0.67592,             0.72321,             0.45548,             0.02899,            0.021083,           0.0048554,           0.0056275,           0.0056275,           0.0056275
                  55,            0.023316,             0.01978,           0.0014117,             0.86664,             0.66567,             0.73361,             0.44654,            0.029767,            0.021777,           0.0051529,            0.005545,            0.005545,            0.005545
                  56,            0.023037,            0.020656,           0.0014251,             0.81638,             0.66289,             0.69681,              0.4225,            0.032505,            0.023506,           0.0052466,           0.0054625,           0.0054625,           0.0054625
                  57,            0.022497,            0.020509,           0.0014005,             0.79324,             0.75474,             0.75985,             0.43833,            0.031599,            0.022299,           0.0047849,             0.00538,             0.00538,             0.00538
                  58,            0.022508,            0.019906,           0.0014579,             0.73435,             0.74508,              0.7682,             0.47103,            0.029134,            0.022095,           0.0049537,           0.0052975,           0.0052975,           0.0052975
                  59,            0.021816,            0.019417,            0.001367,              0.9253,             0.66022,             0.75943,             0.45329,             0.03017,             0.02296,           0.0046628,            0.005215,            0.005215,            0.005215
