               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.044973,            0.040749,            0.010142,             0.61538,             0.47688,              0.4915,             0.21408,            0.043877,            0.025578,           0.0089022,            0.008086,            0.008086,            0.008086
                  60,            0.044165,            0.039738,           0.0097701,             0.78012,             0.47575,             0.49548,             0.21279,            0.045764,            0.024446,             0.00737,            0.008053,            0.008053,            0.008053
                  61,            0.044232,            0.039871,           0.0096454,             0.44054,             0.54629,             0.50894,             0.23658,            0.041488,            0.024423,           0.0095181,             0.00802,             0.00802,             0.00802
                  62,            0.044847,            0.040742,           0.0097183,             0.83534,              0.4068,             0.46577,             0.20717,             0.04576,            0.025158,           0.0094067,            0.007987,            0.007987,            0.007987
                  63,            0.043942,            0.038686,           0.0097606,             0.86028,              0.4172,             0.46376,             0.20174,            0.046052,            0.027182,           0.0079175,            0.007954,            0.007954,            0.007954
                  64,             0.04528,            0.040674,           0.0098346,             0.64662,             0.47768,             0.50813,             0.23677,            0.041426,            0.024381,            0.007736,            0.007921,            0.007921,            0.007921
                  65,            0.044991,            0.040658,           0.0094018,             0.57007,             0.52246,             0.49803,             0.20583,            0.044897,             0.02644,           0.0086069,            0.007888,            0.007888,            0.007888
                  66,            0.043371,            0.038206,           0.0094935,             0.88951,             0.42664,             0.49755,             0.24423,            0.041259,            0.024735,           0.0078316,            0.007855,            0.007855,            0.007855
                  67,            0.044322,            0.039189,            0.010034,             0.54605,             0.39741,             0.42564,              0.1905,            0.056135,            0.024848,           0.0090323,            0.007822,            0.007822,            0.007822
                  68,            0.044724,             0.04092,           0.0098549,             0.86268,             0.41898,             0.47328,             0.18688,            0.046412,            0.030221,            0.008299,            0.007789,            0.007789,            0.007789
                  69,            0.044521,            0.040489,           0.0094737,             0.84131,             0.46517,             0.50827,              0.2191,            0.044854,            0.024571,           0.0085246,            0.007756,            0.007756,            0.007756
                  70,            0.043894,            0.039162,           0.0096097,             0.87808,             0.46965,              0.5137,             0.23531,            0.041317,            0.026891,           0.0074099,            0.007723,            0.007723,            0.007723
                  71,            0.043741,            0.039582,           0.0099995,             0.84833,             0.44753,             0.50662,             0.23233,            0.044383,            0.024767,           0.0072721,             0.00769,             0.00769,             0.00769
                  72,            0.043857,            0.040434,            0.010052,             0.81939,              0.4287,             0.47026,             0.21978,            0.041553,            0.026861,           0.0083258,            0.007657,            0.007657,            0.007657
                  73,            0.044116,            0.040978,           0.0097227,             0.86122,              0.4192,             0.50213,             0.24265,            0.040069,            0.026487,           0.0080086,            0.007624,            0.007624,            0.007624
                  74,            0.043785,            0.039834,            0.010037,              0.8354,             0.46503,             0.50453,             0.22653,            0.044791,            0.023742,           0.0081861,            0.007591,            0.007591,            0.007591
                  75,            0.043555,            0.040058,           0.0097323,             0.84875,             0.41117,             0.45642,             0.22248,            0.046017,            0.024709,           0.0088688,            0.007558,            0.007558,            0.007558
                  76,            0.044714,            0.040615,           0.0097651,             0.45387,             0.49236,             0.49259,             0.22764,            0.042581,            0.024344,           0.0089137,            0.007525,            0.007525,            0.007525
                  77,             0.04374,            0.039578,           0.0092825,             0.87774,             0.40672,             0.49841,             0.23834,            0.043772,            0.029981,           0.0075172,            0.007492,            0.007492,            0.007492
                  78,            0.044045,            0.039773,           0.0093754,             0.61113,             0.46489,             0.49267,             0.22893,            0.042228,            0.025156,           0.0079198,            0.007459,            0.007459,            0.007459
